iso3,year,dependency_ratio
JPN,1997,44.56765341159455
JPN,1998,45.21024634286444
JPN,1999,45.87917509600987
JPN,2000,46.67558355415674
JPN,2001,47.605853122511746
JPN,2002,48.534448261452326
JPN,2003,49.34828018236912
JPN,2004,50.29324834976927
JPN,2005,51.5938532384092
JPN,2006,53.01465218158916
JPN,2007,54.3702199499157
JPN,2008,55.72901096993128
JPN,2009,56.78668824973848
JPN,2010,57.40335953609087
JPN,2011,58.584753783996156
JPN,2012,60.536246332026835
JPN,2013,62.60730222319888
JPN,2014,64.46533807973576
JPN,2015,66.02299419971357
JPN,2016,67.32278760164425
JPN,2017,68.30951862499029
JPN,2018,69.02295372542262
JPN,2019,69.4781102585107
JPN,2020,69.89156910548571
JPN,2021,70.25699363258023
JPN,2022,70.24633316578326
JPN,2023,70.10013993066416
LTU,1990,50.19148420260405
LTU,1991,50.584163298226756
LTU,1992,51.03412327188611
LTU,1993,51.44328319785762
LTU,1994,51.601829762450066
LTU,1995,51.690830342655225
LTU,1996,51.81932991668009
LTU,1997,51.91550677071029
LTU,1998,51.86753114833922
LTU,1999,51.5663087924886
LTU,2000,51.04519871551396
LTU,2001,50.5333131512989
LTU,2002,49.97880823434041
LTU,2003,49.47298209894185
LTU,2004,49.20176422587145
LTU,2005,48.99930265774846
LTU,2006,48.723895273632294
LTU,2007,48.31940622554341
LTU,2008,47.95569421737646
LTU,2009,47.76356267738055
LTU,2010,48.21835931424744
LTU,2011,48.85872717798468
LTU,2012,49.0656281931788
LTU,2013,49.26791303168739
LTU,2014,49.67476430922385
LTU,2015,50.3619191061471
LTU,2016,51.326892805658154
LTU,2017,52.46970064299644
LTU,2018,53.32182911614763
LTU,2019,53.768802714472244
LTU,2020,53.96363210043466
LTU,2021,53.98120236028699
LTU,2022,53.6328325704064
LTU,2023,53.24101966966238
LUX,1990,44.37638714019427
LUX,1991,44.961193850948426
LUX,1992,45.62268620803612
LUX,1993,46.346267843401485
LUX,1994,47.106608251186564
LUX,1995,47.801915592401286
LUX,1996,48.37095514753816
LUX,1997,48.80797803273803
LUX,1998,49.13318748924605
LUX,1999,49.38956676244812
LUX,2000,49.200139522477485
LUX,2001,48.94295285033346
LUX,2002,48.99866087380489
LUX,2003,48.83520133929601
LUX,2004,48.6414136825574
LUX,2005,48.42736390004818
LUX,2006,48.06877171437433
LUX,2007,47.68015703552375
LUX,2008,47.21300017473353
LUX,2009,46.75422691961851
LUX,2010,46.3029820293268
LUX,2011,45.597083260770646
LUX,2012,44.99392383631224
LUX,2013,44.80062465522709
LUX,2014,44.659257564253245
LUX,2015,44.4196253128098
LUX,2016,44.07998970174674
LUX,2017,43.862857253140405
LUX,2018,43.827005696765525
LUX,2019,43.86308896757517
LUX,2020,44.00854339657122
LUX,2021,44.19753086419753
LUX,2022,44.34437443227151
LUX,2023,44.77254311590188
LVA,1990,49.68308665782745
LVA,1991,50.410445389710326
LVA,1992,51.502778157676964
LVA,1993,52.0374148852879
LVA,1994,52.24896733710985
LVA,1995,52.22879993727212
LVA,1996,51.954357208274914
LVA,1997,51.46540705474817
LVA,1998,50.58552940706009
LVA,1999,49.43314371444646
LVA,2000,48.493272001314615
LVA,2001,47.77830188082739
LVA,2002,47.174399433261726
LVA,2003,46.73103377509564
LVA,2004,46.41989494312708
LVA,2005,46.19350330907441
LVA,2006,46.16551865913071
LVA,2007,46.23830930948494
LVA,2008,46.55738521476208
LVA,2009,47.28069698880645
LVA,2010,47.998526756514764
LVA,2011,48.62434507655596
LVA,2012,49.340369974225574
LVA,2013,50.38158641919962
LVA,2014,51.71704796654859
LVA,2015,53.00224451694916
LVA,2016,54.27578746480736
LVA,2017,55.47984463606992
LVA,2018,56.32563104622508
LVA,2019,57.10283312140811
LVA,2020,57.90309367091132
LVA,2021,58.35371761378294
LVA,2022,58.573500587673955
LVA,2023,58.79103047080672
NLD,1990,45.18209676734943
NLD,1991,45.42751682016859
NLD,1992,45.69261573724033
NLD,1993,45.94116278805625
NLD,1994,46.21267357769537
NLD,1995,46.479337931463164
NLD,1996,46.67835648441104
NLD,1997,46.90142186374289
NLD,1998,47.16116795712436
NLD,1999,47.39849002227278
NLD,2000,47.59972577456775
NLD,2001,47.72345845404891
NLD,2002,47.778007873293035
NLD,2003,47.88372080729428
NLD,2004,48.04868960309828
NLD,2005,48.16872595927089
NLD,2006,48.21366282878527
NLD,2007,48.25413523342045
NLD,2008,48.38349031761584
NLD,2009,48.63787331800592
NLD,2010,48.9390840593512
NLD,2011,49.63220919194662
NLD,2012,50.646035141110836
NLD,2013,51.42895916984028
NLD,2014,52.014961185501605
NLD,2015,52.4272622166642
NLD,2016,52.697267244520575
NLD,2017,52.984089250934765
NLD,2018,53.259576442194124
NLD,2019,53.51250129218725
NLD,2020,53.82237353452465
NLD,2021,54.199125236843194
NLD,2022,54.445596372108426
NLD,2023,54.62649085532618
NOR,1990,54.44700229259581
NOR,1991,54.54788094350488
NOR,1992,54.69278706794009
NOR,1993,54.770379787635356
NOR,1994,54.798595729719025
NOR,1995,54.84123852104654
NOR,1996,54.88780068412665
NOR,1997,54.87672006353762
NOR,1998,54.72905877620795
NOR,1999,54.502919926659885
NOR,2000,54.24902241280712
NOR,2001,53.94260086627332
NOR,2002,53.5644614689625
NOR,2003,53.15501024141558
NOR,2004,52.7570832006829
NOR,2005,52.32209862457486
NOR,2006,51.79583234403534
NOR,2007,51.26844216876372
NOR,2008,50.92175904619683
NOR,2009,50.8957069938457
NOR,2010,51.03827692368525
NOR,2011,51.22307464968651
NOR,2012,51.44406156895395
NOR,2013,51.671601833690495
NOR,2014,51.888856793045775
NOR,2015,52.10445668446971
NOR,2016,52.416185960757154
NOR,2017,52.81872178251943
NOR,2018,53.19602768415971
NOR,2019,53.45068464496337
NOR,2020,53.702403677331745
NOR,2021,53.99426029469592
NOR,2022,54.12189436981101
NOR,2023,53.942338290988225
NZL,1990,52.2165060145131
NZL,1991,52.312380049261506
NZL,1992,52.37793628577001
NZL,1993,52.61044519852987
NZL,1994,52.777190443573076
NZL,1995,52.831992610945036
NZL,1996,52.78932636365088
NZL,1997,52.74986517793483
NZL,1998,52.77801694534472
NZL,1999,52.78028974514443
NZL,2000,52.71729663821634
NZL,2001,52.48488806578637
NZL,2002,51.96515558483974
NZL,2003,51.34933615547431
NZL,2004,50.84773660121505
NZL,2005,50.50374830387929
NZL,2006,50.36864501486582
NZL,2007,50.442997960873704
NZL,2008,50.604709835444254
NZL,2009,50.8301336353722
NZL,2010,51.162390733255904
NZL,2011,51.638047175897015
NZL,2012,52.24257411209676
NZL,2013,52.703009302229646
NZL,2014,52.75434706437024
NZL,2015,52.51747809798852
NZL,2016,52.30755263367903
NZL,2017,52.257834938066985
NZL,2018,52.37108574736795
NZL,2019,52.596595182905304
NZL,2020,52.998129298586505
NZL,2021,53.627031299475725
NZL,2022,54.051472367009815
NZL,2023,54.2574461849167
POL,1990,54.03155282408094
POL,1991,53.67517925733869
POL,1992,53.18873847755251
POL,1993,52.65956488298077
POL,1994,52.07997672634113
POL,1995,51.408429928867264
POL,1996,50.651997375784674
POL,1997,49.74619250005579
POL,1998,48.598670818855624
POL,1999,47.458211661772594
POL,2000,46.383522119109415
POL,2001,45.355877790179996
POL,2002,44.48361300075586
POL,2003,43.660924664837225
POL,2004,42.9286318913617
POL,2005,42.282987328555
POL,2006,41.67015692104442
POL,2007,41.11824198572513
POL,2008,40.708941938907365
POL,2009,40.24614351257238
POL,2010,40.142725841061676
POL,2011,40.60388674811982
POL,2012,41.18129769619138
POL,2013,41.91879943581972
POL,2014,42.80603568966062
POL,2015,43.83625215850488
POL,2016,45.028041683187745
POL,2017,46.355225695431365
POL,2018,47.76125344079762
POL,2019,49.21084894155355
POL,2020,50.52270640809509
POL,2021,51.509034748307116
POL,2022,52.30661794575603
POL,2023,53.04017108364096
PRT,1990,51.49836395052001
PRT,1991,50.534922900280066
PRT,1992,49.788196878624305
PRT,1993,49.33152301376247
PRT,1994,48.97857153294488
PRT,1995,48.64878168256911
PRT,1996,48.398142122963215
