iso3,year,ln_gdppc
JPN,2017,4.528830981871242
JPN,2018,4.5199233603525295
JPN,2019,4.507043255864686
JPN,2020,4.512534816686482
JPN,2021,4.48327213149328
JPN,2022,4.471433686616332
JPN,2023,4.48009897347502
LTU,1980,
LTU,1981,
LTU,1982,
LTU,1983,
LTU,1984,
LTU,1985,
LTU,1986,
LTU,1987,
LTU,1988,
LTU,1989,
LTU,1990,
LTU,1991,
LTU,1992,
LTU,1993,
LTU,1994,
LTU,1995,3.5352164595155693
LTU,1996,3.5672555141192768
LTU,1997,3.624942458690159
LTU,1998,3.6823108278468744
LTU,1999,3.6529197082227274
LTU,2000,3.660070121949517
LTU,2001,3.7243772602639567
LTU,2002,3.78883215888492
LTU,2003,3.8834772650660887
LTU,2004,3.9318486520672216
LTU,2005,4.000983559869888
LTU,2006,4.064004969576379
LTU,2007,4.161730712512467
LTU,2008,4.201119586990049
LTU,2009,4.093508446107755
LTU,2010,4.094856014741294
LTU,2011,4.164049557866223
LTU,2012,4.2121977139388145
LTU,2013,4.25028719268922
LTU,2014,4.279875823510101
LTU,2015,4.2971492336824255
LTU,2016,4.322787606385471
LTU,2017,4.358785642971913
LTU,2018,4.397679007152845
LTU,2019,4.435236517481912
LTU,2020,4.480353113144916
LTU,2021,4.485394153131508
LTU,2022,4.476558875598571
LTU,2023,4.4552161163943795
LUX,1980,5.28275398294746
LUX,1981,5.261050934143555
LUX,1982,5.278738933718399
LUX,1983,5.286843877077516
LUX,1984,5.3068581747878
LUX,1985,5.304197196418552
LUX,1986,5.37286511377224
LUX,1987,5.376639457886832
LUX,1988,5.413065891619625
LUX,1989,5.467668461062978
LUX,1990,5.48647660503981
LUX,1991,5.549745829437861
LUX,1992,5.539799250072053
LUX,1993,5.5600452247058305
LUX,1994,5.560217973543013
LUX,1995,5.542024855288314
LUX,1996,5.519283128198859
LUX,1997,5.529715375892073
